Year,Pakistan,Iran (Islamic Rep. of),Germany,United Kingdom of Great Britain and Northern Ireland,Netherlands
2000,2000000,1482000,0,5675,23629
2001,2197821,1482000,0,15065,26024
2002,1226569,1104909,52289,20305,26001
2003,1123647,834699,46975,21718,26433
2004,1290408,952802,38576,22494,25907
2005,1084208,920248,31055,22532,25086
2006,1043984,914260,21879,23069,21357
2007,2034416,906071,24236,23565,17296
2008,1780150,935595,25108,23079,13477
2009,1739935,1022494,30320,23658,9383
2010,1899842,1027577,30404,23406,6731
2011,1701945,840451,30425,14424,5697
2012,1637740,824087,31746,9845,6126
2013,1615876,814015,24203,9166,6269
2014,1504912,950000,27814,9054,6244
2015,1560592,951142,30026,9354,5803
2016,1352160,951142,46292,9752,5791
2017,1392610,951142,104385,9858,6205
2018,1403521,951142,126018,9839,6267
2019,1419084,951142,140366,9513,5815
2020,1424961,951142,133370,9539,5557