Country_ISO,Sum of Refugees.under.UNHCR.s.mandate
MAR,49930
ABW,0
AFG,953151
AGO,387881
AIA,0
ALB,2398
ARE,11461
ARG,66079
ARM,1761879
ATG,20
AUS,943736
AUT,1172783
AZE,36416
BDI,894997
BEL,553682
BEN,112750
BFA,268282
BGD,5653454
BGR,184294
BHR,2979
BHS,272
BIH,253909
BLR,22871
BLZ,7385
BOL,13761
BRA,200441
BRB,0
BRN,0
BWA,55217
CAF,430588
CAN,2941998
CHE,1345835
CHL,28702
CHN,6364182
CIV,652789
CMR,3528514
COD,5959751
COG,1516364
COL,5111
COM,25
CPV,0
CRI,260085
CUB,11063
CUW,445
CYM,173
CYP,89489
CZE,47946
DEU,15124727
DJI,368390
DNK,786299
DOM,6079
DZA,2360686
ECU,1767658
EGY,2939663
ERI,68826
ESP,275907
EST,2126
ETH,7955322
FIN,276600
FJI,59
FRA,4693801
FSM,10
GAB,137783
GBR,4304740
GEO,47090
GHA,467153
GIN,1360377
GMB,193442
GNB,154633
GRC,395316
GRD,5
GTM,7823
GUY,147
HKG,13162
HND,550
HRV,78429
HTI,15
HUN,120744
IDN,292938
IND,3826435
IRL,143271
IRN,22574323
IRQ,3028436
ISL,5227
ISR,376211
ITA,1631704
JAM,234
JOR,8605386
JPN,48716
KAZ,127358
KEN,7986339
KGZ,57924
KHM,1983
KNA,15
KOR,18610
KWT,93569
LBN,8184678
LBR,694975
LBY,218955
LCA,5
LIE,2866
LKA,7295
LSO,735
LTU,18645
LUX,42613
LVA,3878
MAC,6
MCO,297
MDA,4674
MDG,445
MEX,173852
MKD,32659
MLI,322429
MLT,107670
MMR,0
MNE,124654
MNG,93
MOZ,66550
MRT,877325
MSR,0
MUS,75
MWI,139705
MYS,1515480
NAM,179337
NER,1226972
NGA,262889
NIC,5077
NLD,2134674
NOR,981508
NPL,1702556
NRU,5143
NZL,63584
OMN,2443
PAK,32448490
PAN,192883
PER,27258
PHL,5187
PLW,11
PNG,186540
POL,213052
PRT,16940
PRY,3922
QAT,1963
ROU,45184
RUS,1153235
RWA,1660442
SAU,1944783
SDN,8043922
SEN,391558
SGP,29
SLB,10
SLE,348519
SLV,1339
SOM,102870
SRB,2834499
SSD,2486597
SUR,166
SVK,12402
SVN,13971
SWE,2931744
SWZ,15253
SXM,50
SYR,7067727
TCA,40
TCD,6509261
TGO,277733
THA,2316344
TJK,78483
TKM,82011
TLS,0
TTO,6436
TUN,15440
TUR,22267424
TZA,7273630
UGA,9952270
UKR,72415
URY,4390
USA,7600450
UZB,260947
VCT,0
VEN,2261630
VGB,0
VNM,80258
VUT,15
WSM,15
YEM,3700890
ZAF,1210866
ZMB,2145501
ZWE,144279