Year,Syrian Arab Rep.,Jordan,Iran (Islamic Rep. of),Germany,Sweden
2000,1829,919,386000,0,25570
2001,1677,942,386000,0,25889
2002,1716,1069,201671,72697,25698
2003,2435,965,150196,73489,23918
2004,14391,889,93173,68071,22028
2005,24874,754,54000,52922,21046
2006,700000,500000,54024,36205,23852
2007,1500000,500000,57414,34731,30423
2008,1100000,500000,44444,38854,32120
2009,1050000,450000,47924,49033,31558
2010,1000000,450000,45708,50432,29013
2011,750000,450000,45937,48976,27367
2012,471418,63037,44085,49829,24741
2013,146200,55509,43268,40230,24006
2014,146200,29263,32000,41167,24184
2015,18253,33256,28268,51396,23886
2016,16879,33118,28268,86045,21693
2017,16325,34037,28268,130640,15524
2018,15699,34626,28268,136463,12693
2019,13311,34336,28268,141650,12460
2020,12419,34225,28268,131935,12058