Year,Kenya,Yemen,Ethiopia,United Kingdom of Great Britain and Northern Ireland,South Africa
2000,137376,56524,121096,26891,4810
2001,144349,67485,67129,31366,5336
2002,155767,80763,37532,34131,6515
2003,154272,59246,28276,36106,6890
2004,153627,63511,16470,36700,7118
2005,150459,78582,15901,36319,7548
2006,173702,91587,16576,34138,7818
2007,192420,110616,25843,33659,8554
2008,259121,132275,33625,31665,8543
2009,310280,161468,58980,32299,9718
2010,351773,179845,81247,23893,15186
2011,517666,204685,185466,19668,15186
2012,512069,226909,223031,15134,17864
2013,475304,230506,240825,11249,20818
2014,424691,244204,245097,8512,40133
2015,417920,253215,256669,6977,41458
2016,324448,255121,242014,5954,28695
2017,281692,255894,253779,4670,26977
2018,252498,248955,257199,3920,27113
2019,257766,252899,192181,3271,23635
2020,258994,256417,200390,3101,23635