Year,Turkey,Lebanon,Jordan,Germany,Iraq
2000,,,0,0,49
2001,6,,0,0,101
2002,6,,5,14398,100
2003,5,,28,15745,643
2004,0,,37,16184,489
2005,12,,40,10469,627
2006,0,6,42,5844,663
2007,5,48,41,6996,590
2008,12,84,44,8205,534
2009,8,90,138,10217,757
2010,9,64,198,10518,254
2011,19,124,193,10155,323
2012,248466,126939,238798,18165,63586
2013,585601,851284,585304,21253,212809
2014,1557899,1147494,623112,40994,234196
2015,2503549,1062690,628223,115604,244642
2016,2823987,1005503,648836,375122,230836
2017,3424237,992127,653031,496674,247057
2018,3622366,944181,676283,532065,252526
2019,3576370,910586,654692,572818,245810
2020,3574836,884266,657960,562168,245421