Country_ISO,Sum of Refugees under UNHCR's mandate,"Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)","Mortality rate, infant (per 1,000 live births)","Cause of death, by injury (% of total)","Death rate, crude (per 1,000 people)","Hospital beds (per 1,000 people)",GDP per capita (current US$)
MAR,54399,62.29956818,83.04254532,28.62,8.785915481,5.480210526,0.973888889,2528.358932
AFG,139759222,37.2342844,56.20529938,66.47,13.22123512,8.772894737,0.432222222,438.0817036
AGO,17740363,66.71776581,74.81280899,81.45,8.01878045,12.691,0.8,3041.943758
ALB,354494,97.37700806,99.12378998,13.895,5.263157975,6.724842105,3.052307692,3539.786651
AND,92,0,0,4.485,,3.49,2.784285702,38074.89587
ARE,3888,91.63049698,97.21822357,7.635,20.95867675,1.523105263,1.668888889,38509.95779
ARG,15175,98.85279499,99.42415827,12.87,6.205481272,7.721578947,4.61,9256.419831
ARM,1875707,99.62687937,99.83390045,17.625,4.896224127,9.433894737,4.319375,2818.806488
ATG,928,98.94999695,0,9.125,6.008922381,6.107736842,2.580625,13520.06481
AUS,492,0,0,4.07,5.812841487,6.557894737,3.86375,45244.58256
AUT,826,0,0,3.63,5.481656123,9.284210526,7.650526316,42892.32549
AZE,4100203,99.76262817,99.95026779,35.685,4.53022202,5.9,7.016,4091.788264
BDI,14184996,59.31912422,75.71255779,63.77,12.75473305,10.83821053,1.13,210.9819611
BEL,1209,0,0,3.68,6.260556006,9.815789474,6.137,40053.96544
BEN,9102,34.66779423,50.27821732,71.675,8.454881814,10.52289474,0.5,978.5858102
BFA,58491,28.65586789,40.76175944,71.07,8.667344847,11.47010526,0.65,587.8700263
BGD,571349,62.93395927,83.05785266,41.42,7.212817548,5.961,0.528571429,873.3490081
BGR,81539,98.27800369,98.03876495,9.38,2.96372768,14.76842105,6.755,5995.038963
BHR,5545,93.89217987,98.24898224,7.875,10.3196833,2.449473684,2.302777778,20169.6971
BHS,3205,0,0,13.11,12.26520545,6.411157895,3.123750006,30036.20267
BIH,8429882,97.26563517,99.63955688,6.635,4.690610074,9.502578947,3.327333333,4123.432041
BLR,113862,99.68680954,99.83660507,5.085,7.781532766,13.69473684,11.384,4857.450735
BLZ,673,76.90297699,84.22305298,15.805,18.68470405,4.889842105,1.21933333,4264.169889
BMU,0,0,0,0,,7.189473684,,92240.01133
BOL,19724,91.21069772,98.95345415,35.385,8.868879496,7.772894737,1.117692308,2064.351543
BRA,23009,90.82967682,98.06382853,18.82,12.50402233,6.140315789,2.395294118,7919.038761
BRB,1561,99.59999847,99.90000153,13.55,4.36921233,8.274421053,6.571538462,15261.82032
BRN,52,95.32360077,99.32316589,8.26,6.909886054,3.808210526,2.601333333,30678.9379
BTN,2155851,58.23113251,84.51828512,37.21,9.864271724,6.892473684,1.688,2016.869242
BWA,2497,84.00594711,95.70686722,27.37,8.943653018,9.978947368,2.05,6075.950643
CAF,5110806,41.59786606,45.14398956,98.87,7.882743491,16.41710526,1.1,399.5639265
CAN,2165,0,0,4.87,5.731830169,7.194736842,2.9675,41010.98138
CHE,776,0,0,4.055,5.803479043,8.115789474,5.255789474,68175.37159
CHL,195873,96.77104855,99.08451653,7.4,8.507331045,5.643210526,2.285789474,11002.40635
CHN,8765883,94.29519399,99.42820485,15.78,8.075734687,6.875263158,2.547222222,4815.391733
CIV,927481,45.19904041,55.11861324,76.36,8.46367918,12.85315789,0.4,1327.980434
CMR,376399,71.86266136,82.97207451,69.09,8.780586386,11.88278947,1.4,1202.63606
COD,14021121,70.10960197,76.19496155,85.695,8.265808704,12.26152632,0.95,357.5966527
COG,461689,78.57490794,80.51236216,48.775,8.62634389,9.399105263,1.6,2323.143875
COL,4914368,93.52977435,98.22180367,16.15,19.66851867,5.268789474,1.426153848,5228.999835
COM,7211,58.83412933,76.67914073,62.055,10.32175965,8.404894737,2.18,1202.404981
CPV,2151,82.74284108,97.3700943,21.235,14.54395378,5.910315789,2.1,2856.568528
CRI,6048,96.71285248,98.72613271,9.01,11.61328367,4.473105263,1.3005,7857.771016
CUB,591003,99.77580261,99.91512299,5.06,8.260974112,7.802789474,5.258571435,5539.637054
CUW,280,0,0,0,,8.476923077,,19964.64102
CYM,47,98.86782074,98.9068222,0,,3.269760906,,78445.78545
CYP,915,97.74102783,99.79796219,3.305,5.565929645,6.815736842,3.800555556,25886.59954
CZE,87829,99.8330307,99.78588104,3.095,5.458323445,10.38947368,7.192631579,16889.92276
DEU,9601,0,0,3.64,4.143457592,10.55263158,8.413888889,39211.19539
DJI,88783,0,0,63.67,9.313849622,9.049157895,1.531333333,1675.117423
DMA,744,0,0,21.575,,7.798986286,3.825000008,6426.598765
DNK,317,0,0,3.815,4.04843009,9.9,3.392631579,52641.7028
DOM,5885,90.38142141,96.94339328,28.225,13.68569024,6.064052632,1.658461531,5265.508938
DZA,190122,74.76651573,93.27767372,25.53,9.356877238,4.718526316,1.8,3812.208555
ECU,22792,92.6982708,98.61691475,16.7,13.55767877,5.081736842,1.544166667,4391.803831
EGY,265194,70.53766251,87.78987249,25.43,5.003044581,6.214842105,1.678888889,2260.223168
ERI,10027617,64.58248011,86.06419627,41.03,11.43353134,9.068473684,0.95,424.5282789
ESH,6040681,,,,,,,
ESP,8116,97.88192695,99.6268692,3.33,3.782050199,8.657894737,3.200526316,26877.21518
EST,14134,99.82649231,99.85969925,4.33,6.036741581,12.35789474,5.450526316,14782.55655
ETH,23993475,39.12187481,55.56094265,58.085,10.85180938,9.494894737,1.255,395.2282823
FIN,107,0,0,2.61,6.274576974,9.452631579,5.871578947,42663.0492
FJI,25964,99.08210754,99.74433899,20.095,6.344699641,7.721,2.054444444,4212.879039
FRA,2139,0,0,3.74,6.957755463,8.673684211,6.794210526,36871.3528
FSM,0,0,0,32.735,8.513782632,7.155526316,3.1525,2710.14909
GAB,3610,83.47547913,89.14390182,42.395,7.818599009,9.574263158,3.2,7481.100096
GBR,3249,0,0,4.545,3.398960049,9.394736842,3.197,40521.92119
GEO,386213,99.53426615,99.72294362,16.205,4.305876321,12.66521053,3.524,3001.78434
GHA,507609,69.4780604,82.95672607,47.91,8.273601509,8.714947368,0.9,1262.88038
GIB,0,0,0,0,,,,
GIN,1066063,29.00520007,41.59757678,77.815,8.033133917,11.773,0.3,623.234328
GLP,0,,,,,,,
GMB,117318,43.18191655,60.16476568,47.075,9.777069326,9.342894737,1,678.6087049
GNB,948270,43.46946526,59.94760132,75.59,8.014170255,12.15010526,0.85,543.6571835
GNQ,514567,91.3394165,97.54920578,82.205,6.821979306,11.48568421,1.825,12239.88106
GRC,134797,95.3633372,99.24959691,3.96,3.535991789,10.13157895,4.570526316,21542.32136
GRD,4082,98.59999847,99.19999695,13.345,5.400867129,8.377210526,4.015714272,7535.075613
GTM,1050937,76.42279053,90.51997566,29.665,15.26053937,5.312421053,0.5725,2983.679918
GUF,40,,,,,,,
GUY,9443,85.31687164,94.89430237,30.71,13.35586392,7.285526316,2.218571429,3860.428123
HKG,910,0,0,0,,5.821052632,,34248.35146
HND,136610,85.55957336,94.83171158,21.035,18.72804413,4.672631579,0.705454545,1809.940938
HRV,4263050,98.63602066,99.68613815,5.115,5.417482069,11.88921053,5.706111111,11889.58278
HTI,631293,56.37342326,78.98576609,61.415,25.92265378,9.840157895,0.903333333,1074.61332
HUN,118137,99.09999847,98.80000305,5.47,5.272399831,13.13157895,7.395789474,12125.80598
IDN,505078,93.48029497,99.08828057,29.3,5.500048296,6.857473684,0.815,2506.131429
IND,333947,66.86114597,83.84136963,46.545,9.766413331,7.729210526,0.535294116,1194.956203
IRL,122,0,0,3.94,4.55198241,6.689473684,4.074736842,53226.09828
IRN,3399374,82.90463829,97.68251147,18.415,13.22179981,4.934736842,1.596111111,4683.91902
IRQ,27929569,79.17536545,87.04946772,28.73,20.34559214,5.396157895,1.302777778,4717.076958
ISL,155,0,0,2.2,5.804465023,6.357894737,3.738606667,51276.5613
ISR,22957,0,0,3.945,4.874676775,5.421052632,3.354736842,29654.44325
ITA,2497,98.80688731,99.86725871,3.485,4.102475512,10,3.745789474,32246.7031
JAM,25072,88.09999847,96.30000305,15.435,11.75911277,7.187368421,1.684285713,4528.634183
JOR,42446,93.97079577,99.05968802,17.725,11.90386877,3.899473684,1.718888889,3225.461789
JPN,2365,0,0,2.43,6.115789232,9.269558608,13.71,38810.42112
KAZ,190595,99.76522319,99.87641144,20.175,10.06818868,9.003684211,7.294666667,7386.034897
KEN,191864,78.66353035,87.31857109,42.725,8.887515098,8.570789474,1.525,966.2458103
KGZ,99647,99.41471481,99.75092316,27.85,9.038929128,6.526315789,5.153333333,857.4350967
KHM,2309732,77.04015656,88.06647949,42.94,8.991167901,7.042578947,0.662857143,828.0596716
KIR,341,0,0,47.92,6.040608251,7.065947368,1.567142857,1376.169115
KNA,385,0,0,15.34,,8.833333333,5.04,15022.80803
KOR,9707,97.96594238,99.95417023,4.025,10.99971667,5.2,8.384210526,22943.43111
KWT,24211,94.74649429,98.97540207,8.8,17.64002554,2.498789474,2.050555556,35258.04364
LAO,2333932,70.79375153,81.50129547,53.975,8.374337149,7.769631579,1.075,1262.380289
LBN,458649,91.95535787,99.23665365,10.06,6.943360925,4.122263158,3.192777778,6413.267072
LBR,8449964,45.62121964,52.23640442,81.725,8.222563467,10.64252632,0.75,503.0222695
LBY,116781,86.09999847,99.59999847,15.91,16.39042729,4.797210526,3.720555556,7910.564085
LCA,9835,0,0,17.235,10.37540375,6.703736842,2.179090913,8473.528459
LIE,0,0,0,0,,6.557894737,,132965.7095
LKA,3972355,91.31762368,97.93425751,10.235,11.58495179,6.183210526,3.337142857,2479.095682
LSO,1236,79.5632782,86.91783905,74.035,11.29918317,17.94552632,1.3,937.049282
LTU,12987,99.73067474,99.7787323,5.565,8.347521971,13.28421053,7.364736842,11863.2368
LUX,10,0,0,2.74,6.629016879,7.621052632,5.401499986,94455.71048
LVA,25752,99.84392548,99.80189514,6.805,6.990359715,14.35789474,6.855263158,11606.85947
MAC,125,94.24341202,99.68735313,0,,3.758473684,,52052.62489
MCO,45,0,0,3.315,,9.5,15.13,146903.6562
MDA,134033,98.60370527,99.55193002,16.125,7.082620154,11.71963158,6.329333333,2189.768856
MDG,5198,68.09599228,70.16691818,49.33,9.16297193,7.756789474,0.306666662,440.2017191
MDV,578,98.24765778,98.87328911,14.795,6.721546312,3.608473684,2.63200001,6490.038126
MEX,155186,93.13600607,98.36565579,17.09,11.23707669,5.227,1.035789474,9025.788603
MHL,48,98.26508331,98.45877838,30.92,,3.7,2.7,2910.113381
MKD,155435,96.96446609,98.67134857,10.555,3.144798978,9.275526316,4.596111111,4151.757703
MLI,1923220,30.07293828,44.94286804,78.9,8.096758723,13.39,0.333333333,643.1294993
MLT,217,93.39121246,98.81589508,6.085,3.41893101,7.652631579,5.957777778,20713.71974
MMR,11047247,82.74647903,89.6687355,49.995,7.227951422,8.980105263,0.818333333,781.4980717
MNE,20763,98.35428365,99.24403127,6.655,5.418316316,10.22752632,4.048888889,5711.757908
MNG,30333,98.1496582,98.26678975,27.95,11.75196388,6.748947368,6.696363636,2491.552428
MOZ,9206928,53.8592701,67.62002182,76.435,8.054993115,12.89936842,0.766666667,479.7593793
MRT,1481018,50.06968307,60.46896362,61.37,9.049080982,8.383421053,0.4,1342.015437
MTQ,0,,,,,,,
MUS,1551,90.80932045,97.23711395,13.47,5.54814011,7.347368421,3.233333333,7645.114145
MWI,42260,62.86620967,73.71902466,56.135,7.811632393,12.08268421,1.2,344.0757487
MYS,10735,93.32465668,97.4787735,7.155,9.835748949,4.681157895,1.81,8085.698791
NAM,811653,85.30818558,92.2760334,37.48,10.37618452,11.39731579,3,4255.248384
NCL,0,97.80000305,99.19999695,0,,5.126315789,,12579.59511
NER,130356,27.16471267,34.89642477,67.015,8.63568278,12.24036842,0.3375,422.1331541
NGA,1966867,59.51629925,72.2751236,88.445,7.090966583,14.79126316,0.85,1864.393807
NIC,984410,79.09822083,88.2678477,21.425,10.01640765,5.098842105,0.933571427,1535.269216
NIU,161,,,,,,,
NLD,1472,0,0,4,4.640083799,8.473684211,4.095555556,45621.32315
NOR,117,0,0,2.805,5.482273316,8.626315789,4.304736842,74886.73037
NPL,109147,58.71488444,82.40152486,39.685,9.607875475,7.086631579,1.4125,565.1368853
NRU,30,0,0,30.49,,,4,8097.969454
NZL,290,0,0,5.065,6.078701664,6.828947368,2.994166667,32220.18055
OMN,772,90.75884724,98.36084461,10.68,12.29881155,2.885263158,1.872222222,15325.06427
PAK,1742165,55.01476635,70.53605929,70.2,7.059827262,7.749894737,0.688333333,1007.630667
PAN,5484,93.80184937,97.60582225,17.265,10.63039984,4.909736842,2.305714286,8977.540805
PER,147289,91.83122406,98.26426926,17.33,10.7429216,5.353947368,1.457692306,4618.081694
PHL,1435357,95.03827972,97.01774445,25.105,7.461247587,5.614421053,0.989090909,2136.81408
PLW,0,98.04843521,99.25140762,20.75,,8.105263158,5.15,11488.82995
PNG,8710,59.4716301,67.28949738,44.89,7.172177942,8.485789474,,1790.787627
POL,310621,98.74273682,99.79682922,5.51,5.456826768,9.947368421,6.448333333,10926.27971
PRI,36,92.17761612,95.61200714,0,,7.928894737,,25398.45552
PRK,15530,99.99819183,99.99964142,23.785,6.965927113,8.782736842,13.56666667,
PRT,1185,93.68479665,99.33279928,3.515,4.479312761,10.16842105,3.463157895,19833.73588
PRY,1769,94.25475173,98.37153625,22.235,12.15124772,5.423631579,1.154545459,3842.552776
PSE,4979234,95.22525318,99.23791034,20.335,,3.764578947,,2358.318428
QAT,961,90.98517054,94.14144135,7.985,21.28094952,1.402210526,1.840555556,59610.43327
ROU,375743,98.24879201,98.72879028,11.61,4.303521773,12.51578947,6.83,7477.748023
RUS,3774267,99.61843363,99.71088409,9.845,9.263323764,14.26315789,9.783684211,8852.063064
RWA,15773721,68.61832581,81.77094269,53.58,10.28064917,8.904842105,1.633333333,543.1193622
SAU,16484,87.99091148,97.57162666,11.16,18.16572576,3.508052632,2.296111111,17729.03992
SDN,19276273,58.52014414,72.3203125,52.2,10.61696888,8.478,1.484444444,1018.373324
SEN,577068,46.075442,59.255078,46.235,10.22887034,7.912263158,0.2,1157.346003
SGP,1285,96.26493988,99.84091949,2.31,4.935166741,4.547368421,2.685000008,43858.16565
SLB,1288,76.59999847,0,21.67,9.984334777,4.834842105,1.665,1623.847946
SLE,4027071,36.81976318,57.19944509,109.79,7.522320134,16.619,0.4,421.3958194
SLV,2367090,85.81813674,96.47375419,17.71,20.52212958,6.838315789,1.015384615,3038.862661
SMR,20,99.91642761,100,2.86,,7.08,3.825,53770.18304
SOM,22757980,0,0,93.44,8.196618898,13.13073684,0.645,
SRB,3706011,97.73371887,99.4617691,7.035,3.390871911,14.10368421,5.503846154,5144.124576
SSD,12271381,30.67701912,42.30161858,76.21,9.646511711,12.74631579,,1432.645916
STP,901,84.35116005,92.53489304,36.075,9.617339323,6.410315789,3.1,1228.884509
SUR,27878,93.22933655,97.79753265,21.125,11.57500184,7.222157895,3.194444434,5856.476282
SVK,12585,0,0,6.09,5.870758667,9.778947368,6.513157895,14588.30177
SVN,77881,99.69999695,99.80000305,2.85,7.612315146,9.373684211,4.724210526,20767.85532
SWE,620,0,0,2.67,4.862398482,9.789473684,2.770526316,48503.08896
SWZ,2019,84.3927892,93.61163584,56.65,10.64081126,15.06010526,2.1,3304.870049
SYC,2094,93.88613129,99.03536987,12.16,8.112478143,7.663157895,4.4,12119.60203
SYR,43917187,81.86638641,93.82131958,17.435,21.45510233,4.448,1.466666667,1464.146607
TCA,142,0,0,0,,,,23146.6626
TCD,3329735,25.58754492,37.19862461,85.135,8.165926322,14.99115789,0.4,682.438196
TGO,889113,58.26298218,79.36090393,59.075,9.200035798,10.592,0.8,509.2547675
THA,13842,93.82034302,97.87025706,12.42,11.34099899,7.215052632,2.15,4596.216018
TIB,1394844,,,,,,,
TJK,895553,99.62534332,99.87353134,41.88,7.922744381,6.153526316,5.572,633.5306012
TKM,21213,99.69999695,99.80000305,41.36,6.953122038,7.322578947,4.431333333,4100.651341
TLS,386824,53.64395237,81.53385544,56.325,7.27477743,7.340157895,5.9,856.1925114
TON,292,99.27278646,99.43430074,14.615,7.134467548,7.091263158,2.650000012,3418.533991
TTO,4660,98.29999924,99.5,20.615,10.08879072,7.824842105,2.84733334,14936.98907
TUN,47437,78.17738342,96.429633,17.355,8.556751646,6.032789474,1.981111111,3517.014466
TUR,2907139,92.57604276,98.11352891,17.635,5.494817392,5.795736842,2.573684211,8861.517107
TUV,55,0,0,26.68,,,5.6,2797.982919
TZA,28276,73.30485535,81.16292763,51.705,9.186510275,9.795105263,0.9,726.4580943
UGA,2772221,71.89064941,85.06416626,54.83,9.893521484,10.69473684,0.74,583.2465788
UKR,1792466,99.70238113,99.88731003,10.69,6.025593412,15.34736842,8.794666667,2478.264856
URY,11496,98.31489035,98.88957977,10.13,7.139678046,9.376684211,2.419166665,10933.82615
USA,38613,0,0,6.315,6.226456484,8.278578947,3.098888889,49393.3557
UZB,393892,99.76354726,99.9790357,31.58,6.703201353,5.059526669,4.817333333,1366.074342
VAT,0,,,,,,,
VCT,17796,0,0,17.155,7.188443081,7.938368421,3.591538462,5956.107896
VEN,346157,95.35816447,98.24295298,16.885,20.36888075,5.704736842,0.91888889,8759.732396
VNM,16266804,92.89231873,96.77875773,18.83,8.966785016,5.854789474,2.594166675,1370.858276
VUT,0,83.53543599,94.46070862,23.865,9.346623614,5.594105263,3.149999976,2491.946027
WSM,10,99.03451538,99.17956924,15.495,8.323292707,5.803842105,1.76799999,3225.755904
XXA,1103803,,,,,,,
YEM,566045,54.09999847,77,49.695,14.45666201,6.775421053,0.667222222,1043.391946
ZAF,368711,92.1094408,98.17669678,37.235,12.14628812,11.90668421,2.645,5555.479278
ZMB,58658,75.00798607,78.48614502,58.09,7.567781811,11.42815789,1.966666667,1152.794442
ZWE,807033,86.13806534,90.67941284,48.92,9.848345653,13.67310526,2.35,946.2438284